ID pacjenta: 62/2022
Nazwisko: 
Imię: 
Płeć: kobieta
Data urodzenia: 13.08.2000
Wzrost: 169 cm
Waga: 57 kg

Czas        Obciążenie  VO2         VO2/kg      VCO2        RER         HR          VE          Bf          BR          VE/VO2      VE/ VCO2    FeO2        FeCO2       SpO2        PETO2       PETCO2      PEO2        PECO2       RPM         
min:sec     W           l/min       ml/min/kg   l/min                   1/min       l/min       1/min       %                                                           %           mmHg        mmHg        mmHg        mmHg        1/min       
            162         2,00        35,1        3,35        1,21        188         83          55          20          35,0                                            95          90                                                          
0:05        25          0,20        3,5         0,17        0,85        0           7           10          95          28,5        33,3        0,173       0,031       0           109         33          132         26          0           
0:10        25          0,29        5,1         0,25        0,85        0           9           13          92          28,0        33,0        0,171       0,032       0           108         34          131         26          0           
0:15        25          0,25        4,4         0,21        0,85        0           8           11          93          27,9        32,8        0,171       0,033       0           107         34          131         26          0           
0:00        0           0,22        3,9         0,19        0,85        0           8           14          94          29,0        34,2        0,174       0,030       0           109         33          133         25          0           
0:04        0           0,27        4,8         0,23        0,85        0           9           15          92          28,8        34,0        0,173       0,031       0           109         33          132         25          0           
0:09        0           0,25        4,4         0,21        0,84        0           8           13          93          28,4        33,6        0,173       0,031       0           108         33          132         26          0           
0:13        0           0,26        4,5         0,22        0,84        0           9           14          93          27,9        33,3        0,172       0,031       0           109         33          132         26          0           
0:17        0           0,25        4,4         0,21        0,84        0           9           15          93          28,9        34,4        0,174       0,030       0           109         33          133         25          0           
0:22        0           0,22        3,9         0,19        0,84        0           7           13          94          26,4        31,4        0,171       0,032       0           108         33          131         27          0           
0:27        0           0,26        4,5         0,21        0,83        0           8           13          93          26,5        31,8        0,170       0,033       0           106         34          130         27          0           
0:31        0           0,26        4,5         0,21        0,83        0           8           13          93          27,0        32,6        0,171       0,032       0           107         34          131         26          0           
0:36        0           0,27        4,7         0,22        0,83        0           8           13          93          26,8        32,3        0,170       0,033       0           106         34          130         27          0           
0:40        0           0,28        5,0         0,23        0,82        0           9           14          93          26,5        32,2        0,170       0,033       0           107         34          130         27          0           
0:47        0           0,20        3,5         0,17        0,84        0           6           9           95          27,6        33,0        0,171       0,032       0           107         34          131         26          0           
0:51        0           0,28        4,8         0,23        0,83        0           9           14          93          27,2        32,8        0,171       0,032       0           107         34          131         26          0           
0:56        0           0,26        4,6         0,22        0,83        0           8           12          93          26,6        32,0        0,169       0,033       0           106         35          130         27          0           
1:01        0           0,27        4,8         0,23        0,84        0           9           14          93          27,9        33,2        0,172       0,031       0           108         34          132         26          0           
1:05        0           0,26        4,6         0,22        0,85        0           9           13          93          27,6        32,6        0,171       0,032       0           107         34          131         27          0           
1:10        0           0,26        4,5         0,22        0,86        0           9           13          93          28,5        33,3        0,172       0,032       0           109         33          132         26          0           
1:15        0           0,24        4,2         0,21        0,87        0           8           13          93          29,4        33,7        0,174       0,031       0           110         33          132         26          0           
1:19        0           0,26        4,6         0,23        0,88        0           9           14          93          30,0        34,1        0,174       0,031       0           110         33          133         25          0           
1:24        0           0,24        4,2         0,21        0,88        0           8           12          94          28,6        32,4        0,173       0,033       0           108         35          132         27          0           
1:30        0           0,19        3,3         0,17        0,88        0           6           10          95          28,9        33,0        0,173       0,032       0           109         34          133         26          0           
1:34        0           0,29        5,0         0,25        0,86        0           9           14          92          28,2        32,7        0,172       0,032       0           108         34          131         26          0           
1:39        0           0,24        4,2         0,21        0,87        0           8           14          93          29,0        33,4        0,174       0,031       0           110         33          133         26          0           
1:43        0           0,26        4,6         0,23        0,87        0           9           15          93          28,4        32,6        0,173       0,032       0           109         33          132         26          0           
1:48        0           0,19        3,3         0,16        0,86        0           6           12          95          26,4        30,8        0,172       0,033       0           108         34          131         28          0           
1:52        0           0,26        4,5         0,23        0,88        0           9           14          93          29,2        33,3        0,174       0,031       0           111         32          133         26          0           
1:57        0           0,23        4,1         0,21        0,89        0           8           13          93          29,3        33,0        0,174       0,032       0           110         33          133         26          0           
2:01        0           0,23        4,1         0,21        0,88        0           8           13          93          29,4        33,3        0,174       0,031       0           110         33          133         26          0           
2:05        0           0,29        5,0         0,25        0,88        0           10          15          92          29,9        33,9        0,174       0,031       0           110         33          133         25          0           
2:10        0           0,26        4,6         0,24        0,91        0           9           14          92          30,4        33,5        0,175       0,032       0           111         33          133         26          0           
2:14        0           0,23        4,1         0,21        0,91        0           9           14          93          31,4        34,3        0,176       0,030       0           112         32          134         25          0           
2:19        0           0,22        3,8         0,20        0,90        0           8           14          93          31,4        34,7        0,177       0,030       0           112         32          135         25          0           
2:23        0           0,23        4,1         0,21        0,90        0           8           13          93          30,1        33,3        0,175       0,031       0           111         33          133         26          0           
2:27        0           0,24        4,2         0,21        0,89        0           8           15          93          29,3        32,8        0,174       0,031       0           111         33          133         26          0           
2:31        0           0,25        4,3         0,22        0,88        0           9           15          93          29,3        33,2        0,174       0,031       0           110         33          133         26          0           
2:36        0           0,23        4,1         0,20        0,88        0           8           12          94          28,3        32,4        0,172       0,032       0           108         34          132         27          0           
2:41        0           0,28        4,9         0,24        0,87        0           9           13          92          28,3        32,5        0,172       0,033       0           109         34          131         27          0           
2:45        0           0,28        4,9         0,25        0,88        0           9           14          92          28,3        32,3        0,172       0,033       0           108         34          131         27          0           
2:49        0           0,30        5,3         0,27        0,88        0           10          15          92          28,7        32,5        0,173       0,032       0           110         33          132         27          0           
2:53        0           0,31        5,5         0,28        0,89        0           11          15          91          28,9        32,5        0,173       0,033       0           109         34          132         27          0           
2:59        0           0,36        6,4         0,35        0,96        0           12          9           90          31,3        32,6        0,173       0,035       0           111         35          131         26          0           
3:03        0           0,32        5,6         0,30        0,95        0           12          16          91          31,3        32,9        0,175       0,032       0           110         35          133         26          26          
3:07        0           0,33        5,7         0,31        0,94        0           11          15          91          30,4        32,2        0,174       0,033       0           110         35          132         27          26          
3:12        0           0,36        6,2         0,34        0,95        0           12          13          90          29,6        31,3        0,172       0,035       0           109         36          131         28          34          
3:16        0           0,24        4,3         0,23        0,93        0           8           13          93          27,8        29,7        0,172       0,035       0           108         36          131         29          42          
3:19        0           0,44        7,7         0,40        0,93        0           15          19          88          29,5        31,9        0,173       0,034       0           109         35          132         27          52          
3:24        0           0,41        7,1         0,39        0,97        0           14          15          89          30,6        31,6        0,173       0,035       0           111         35          132         27          56          
3:28        0           0,34        5,9         0,33        0,99        0           12          15          90          32,0        32,5        0,175       0,033       0           111         35          133         27          56          
3:32        0           0,26        4,6         0,25        0,95        0           9           15          92          29,9        31,3        0,175       0,033       0           110         35          133         28          57          
3:36        0           0,37        6,4         0,34        0,92        0           11          14          91          26,3        28,5        0,168       0,038       0           109         36          128         30          58          
3:40        0           0,29        5,0         0,26        0,93        0           10          14          92          31,7        34,1        0,176       0,031       0           110         35          134         25          60          
3:44        0           0,44        7,6         0,40        0,93        0           14          15          88          29,6        32,0        0,172       0,035       0           110         35          131         27          59          
3:49        0           0,35        6,2         0,33        0,93        0           12          13          90          29,7        31,8        0,172       0,035       0           110         35          131         27          59          
3:53        0           0,36        6,3         0,34        0,96        0           13          13          90          31,5        32,9        0,174       0,034       0           112         34          133         26          59          
3:58        0           0,32        5,5         0,29        0,94        0           11          14          91          30,1        32,2        0,174       0,033       0           111         34          132         27          58          
4:02        0           0,34        5,9         0,31        0,92        0           11          15          91          29,2        31,7        0,173       0,034       0           110         34          132         27          58          
4:06        0           0,31        5,4         0,27        0,89        0           11          15          91          30,0        33,7        0,174       0,032       0           108         35          133         26          60          
4:09        0           0,36        6,3         0,31        0,87        0           11          16          91          27,8        31,8        0,171       0,034       0           109         34          131         27          59          
4:14        0           0,44        7,7         0,39        0,88        0           14          14          89          27,7        31,6        0,169       0,035       0           108         35          129         27          59          
4:18        0           0,35        6,2         0,31        0,88        0           11          13          91          28,7        32,7        0,171       0,033       0           108         35          131         26          59          
4:22        0           0,35        6,1         0,30        0,86        0           11          16          91          28,0        32,4        0,171       0,033       0           109         34          131         27          58          
4:26        0           0,33        5,8         0,28        0,85        0           11          14          91          27,7        32,5        0,171       0,033       0           107         35          130         27          59          
4:30        0           0,36        6,3         0,30        0,84        0           11          15          91          27,6        32,8        0,171       0,033       0           106         35          130         26          60          
4:34        0           0,42        7,4         0,35        0,83        0           13          15          90          27,0        32,4        0,169       0,034       0           106         35          129         27          58          
4:38        0           0,42        7,4         0,35        0,83        0           13          16          90          26,6        32,3        0,169       0,034       0           106         35          129         27          58          
4:42        0           0,44        7,7         0,36        0,83        0           14          15          89          27,4        33,2        0,169       0,033       0           108         34          130         26          58          
4:47        0           0,30        5,2         0,25        0,84        0           9           11          93          27,1        32,4        0,169       0,034       0           107         35          130         27          58          
4:52        0           0,45        7,9         0,37        0,82        0           13          13          89          26,5        32,2        0,167       0,035       0           105         36          128         27          58          
4:57        0           0,50        8,8         0,44        0,86        0           16          12          87          29,2        33,8        0,170       0,034       0           109         34          130         26          59          
5:02        0           0,37        6,4         0,32        0,86        0           12          13          90          28,7        33,2        0,171       0,033       0           108         34          131         26          59          
5:06        0           0,38        6,7         0,32        0,85        0           11          13          91          27,0        31,7        0,169       0,035       0           107         35          129         27          59          
5:11        0           0,37        6,5         0,31        0,83        0           11          14          91          27,3        33,0        0,170       0,033       0           106         35          130         26          59          
5:14        0           0,39        6,8         0,32        0,82        0           12          15          90          26,6        32,4        0,169       0,033       0           106         34          129         27          59          
5:18        0           0,41        7,2         0,33        0,81        0           13          19          89          27,0        33,3        0,170       0,032       0           106         34          130         26          59          
5:21        0           0,37        6,5         0,30        0,81        0           11          17          91          26,3        32,6        0,169       0,032       0           107         34          130         26          59          
5:25        0           0,44        7,7         0,35        0,81        0           13          16          89          26,4        32,8        0,168       0,033       0           108         33          130         26          60          
5:29        0           0,47        8,2         0,39        0,83        0           14          15          89          26,4        32,0        0,168       0,034       0           106         35          128         27          59          
5:33        0           0,33        5,8         0,27        0,81        0           10          14          92          26,5        32,6        0,169       0,033       0           105         35          130         26          58          
5:38        0           0,32        5,5         0,25        0,81        0           9           13          92          26,1        32,3        0,168       0,033       0           105         36          129         27          58          
5:42        0           0,53        9,3         0,42        0,78        0           14          16          88          23,8        30,3        0,163       0,036       0           103         35          125         28          59          
5:46        0           0,39        6,9         0,31        0,79        0           11          14          91          25,5        32,2        0,167       0,034       0           104         35          128         27          58          
5:50        0           0,39        6,8         0,31        0,80        0           11          16          91          25,3        31,8        0,167       0,034       0           105         35          128         27          59          
5:53        0           0,49        8,6         0,38        0,78        0           14          21          88          25,0        32,1        0,167       0,033       0           105         34          128         27          59          
5:57        0           0,44        7,7         0,35        0,80        0           12          14          90          25,3        31,7        0,166       0,035       0           105         35          128         27          58          
5:59        87          0,29        5,2         0,22        0,76        0           9           26          93          20,9        27,6        0,167       0,032       0           106         33          128         31          58          
6:03        87          0,51        8,9         0,39        0,78        0           14          16          89          23,8        30,7        0,163       0,036       0           102         36          126         28          59          
6:06        87          0,50        8,7         0,38        0,76        0           13          18          89          23,4        30,7        0,164       0,035       0           101         36          126         28          59          
6:09        87          0,60        10,6        0,46        0,77        0           16          19          87          23,7        30,9        0,163       0,035       0           103         36          126         28          58          
6:15        87          0,57        10,1        0,48        0,84        0           16          10          87          25,5        30,4        0,164       0,038       0           103         37          126         28          56          
6:18        87          0,57        10,0        0,45        0,79        0           16          20          87          25,3        32,0        0,167       0,034       0           104         36          128         27          63          
6:21        87          0,61        10,8        0,48        0,79        0           17          20          86          24,8        31,5        0,165       0,035       0           104         35          127         27          61          
6:26        87          0,40        7,1         0,32        0,78        0           11          14          91          24,4        31,3        0,165       0,035       0           102         37          127         28          61          
6:29        87          0,61        10,7        0,46        0,76        0           16          18          87          23,8        31,3        0,163       0,035       0           101         37          125         28          60          
6:32        87          0,61        10,7        0,46        0,75        0           16          19          87          23,9        31,8        0,164       0,034       0           101         37          126         27          60          
6:37        87          0,67        11,7        0,51        0,76        0           16          14          87          21,8        28,8        0,158       0,039       0           99          38          122         30          62          
6:40        87          0,53        9,3         0,40        0,74        0           14          16          89          22,9        30,8        0,162       0,035       0           99          38          125         28          61          
6:44        87          0,80        14,0        0,58        0,72        0           18          16          86          20,2        27,9        0,154       0,040       0           95          40          119         31          59          
6:47        87          0,61        10,6        0,42        0,69        0           14          19          88          20,2        29,1        0,157       0,037       0           94          40          121         30          59          
6:50        87          0,81        14,1        0,57        0,70        0           18          18          86          19,7        28,1        0,153       0,039       0           93          40          119         31          57          
6:54        87          0,95        16,6        0,67        0,71        0           20          18          83          19,5        27,4        0,152       0,041       0           93          41          118         31          54          
6:58        87          0,78        13,6        0,57        0,74        0           17          16          86          20,5        27,8        0,155       0,040       0           94          41          120         31          57          
7:01        87          0,89        15,6        0,65        0,73        0           20          19          84          20,2        27,6        0,154       0,040       0           94          41          119         31          57          
7:04        87          0,93        16,3        0,69        0,74        0           21          18          83          20,4        27,4        0,154       0,041       0           93          42          119         31          58          
7:08        87          0,94        16,5        0,74        0,79        0           22          17          82          21,6        27,4        0,157       0,042       0           97          41          121         32          58          
7:11        87          0,70        12,2        0,55        0,79        0           17          20          86          21,4        27,2        0,158       0,040       0           96          42          122         32          58          
7:14        87          0,64        11,3        0,50        0,77        0           15          17          88          21,2        27,4        0,158       0,040       0           96          42          121         31          56          
7:17        87          1,11        19,4        0,84        0,76        0           22          20          82          18,0        23,7        0,147       0,047       0           90          45          114         36          56          
7:21        87          0,89        15,6        0,70        0,79        0           20          16          84          20,3        25,9        0,154       0,044       0           94          44          118         33          56          
7:24        87          1,10        19,4        0,87        0,79        0           23          19          81          19,4        24,7        0,151       0,046       0           92          45          117         35          57          
7:27        87          1,00        17,6        0,82        0,82        0           23          19          81          21,0        25,8        0,155       0,044       0           96          44          120         33          57          
